t_h,Cbar,V_over_V0,beta
11.6333,0.494605,0.391574,0.296014
11.6500,0.493642,0.391465,0.295929
11.6667,0.492683,0.391356,0.295844
11.6833,0.491727,0.391248,0.295758
11.7000,0.490774,0.391142,0.295673
11.7167,0.489824,0.391037,0.295588
11.7333,0.488877,0.390932,0.295503
11.7500,0.487933,0.390829,0.295418
11.7667,0.486992,0.390727,0.295332
11.7833,0.486054,0.390625,0.295247
11.8000,0.485119,0.390525,0.295162
11.8167,0.484187,0.390425,0.295077
11.8333,0.483258,0.390327,0.294992
11.8500,0.482332,0.390229,0.294908
11.8667,0.481409,0.390132,0.294823
11.8833,0.480489,0.390035,0.294739
11.9000,0.479572,0.389939,0.294654
11.9167,0.478658,0.389844,0.294570
11.9333,0.477747,0.389749,0.294487
11.9500,0.476839,0.389655,0.294403
11.9667,0.475933,0.389562,0.294320
11.9833,0.475031,0.389469,0.294236
12.0000,0.474131,0.389376,0.294153
12.0167,0.473235,0.389284,0.294071
12.0333,0.472341,0.389194,0.293988
12.0500,0.471450,0.389104,0.293905
12.0667,0.470562,0.389016,0.293822
12.0833,0.469677,0.388928,0.293739
12.1000,0.468795,0.388841,0.293656
12.1167,0.467915,0.388756,0.293573
12.1333,0.467039,0.388671,0.293490
12.1500,0.466165,0.388587,0.293408
12.1667,0.465294,0.388503,0.293325
12.1833,0.464426,0.388421,0.293243
12.2000,0.463561,0.388338,0.293161
12.2167,0.462698,0.388257,0.293079
12.2333,0.461838,0.388175,0.292997
12.2500,0.460981,0.388094,0.292915
12.2667,0.460127,0.388014,0.292834
12.2833,0.459275,0.387933,0.292753
12.3000,0.458427,0.387853,0.292673
12.3167,0.457581,0.387773,0.292593
12.3333,0.456737,0.387693,0.292513
12.3500,0.455897,0.387613,0.292434
12.3667,0.455059,0.387533,0.292355
12.3833,0.454224,0.387453,0.292277
12.4000,0.453391,0.387373,0.292199
12.4167,0.452562,0.387292,0.292122
12.4333,0.451735,0.387212,0.292045
12.4500,0.450910,0.387130,0.291969
12.4667,0.450088,0.387049,0.291894
12.4833,0.449269,0.386967,0.291819
12.5000,0.448453,0.386884,0.291745
12.5167,0.447639,0.386801,0.291672
12.5333,0.446827,0.386718,0.291598
12.5500,0.446019,0.386635,0.291526
12.5667,0.445212,0.386552,0.291453
12.5833,0.444409,0.386469,0.291382
12.6000,0.443608,0.386387,0.291310
12.6167,0.442810,0.386304,0.291239
12.6333,0.442014,0.386221,0.291168
12.6500,0.441220,0.386138,0.291098
12.6667,0.440430,0.386055,0.291028
12.6833,0.439641,0.385972,0.290959
12.7000,0.438856,0.385889,0.290890
12.7167,0.438072,0.385807,0.290821
12.7333,0.437292,0.385724,0.290753
12.7500,0.436513,0.385641,0.290685
12.7667,0.435738,0.385558,0.290618
12.7833,0.434964,0.385475,0.290550
12.8000,0.434193,0.385393,0.290484
12.8167,0.433425,0.385310,0.290417
12.8333,0.432659,0.385227,0.290351
12.8500,0.431896,0.385144,0.290286
12.8667,0.431135,0.385062,0.290221
12.8833,0.430376,0.384979,0.290156
12.9000,0.429620,0.384896,0.290091
12.9167,0.428866,0.384813,0.290027
12.9333,0.428114,0.384731,0.289963
12.9500,0.427365,0.384648,0.289900
12.9667,0.426619,0.384565,0.289837
12.9833,0.425874,0.384483,0.289774
13.0000,0.425132,0.384400,0.289712
13.0167,0.424393,0.384317,0.289650
13.0333,0.423655,0.384233,0.289589
13.0500,0.422920,0.384149,0.289529
13.0667,0.422188,0.384064,0.289469
13.0833,0.421457,0.383979,0.289410
13.1000,0.420729,0.383893,0.289351
13.1167,0.420003,0.383807,0.289293
13.1333,0.419280,0.383720,0.289235
13.1500,0.418559,0.383634,0.289178
13.1667,0.417840,0.383548,0.289121
13.1833,0.417123,0.383461,0.289064
13.2000,0.416409,0.383375,0.289008
13.2167,0.415697,0.383288,0.288952
13.2333,0.414987,0.383202,0.288896
13.2500,0.414279,0.383117,0.288841
13.2667,0.413573,0.383032,0.288785
13.2833,0.412870,0.382947,0.288730
13.3000,0.412169,0.382863,0.288675
13.3167,0.411470,0.382779,0.288619
13.3333,0.410773,0.382696,0.288564
13.3500,0.410079,0.382614,0.288509
13.3667,0.409387,0.382533,0.288453
13.3833,0.408696,0.382453,0.288398
13.4000,0.408008,0.382373,0.288342
13.4167,0.407322,0.382295,0.288286
13.4333,0.406639,0.382218,0.288230
13.4500,0.405957,0.382143,0.288174
13.4667,0.405278,0.382068,0.288117
13.4833,0.404600,0.381995,0.288060
13.5000,0.403925,0.381924,0.288003
13.5167,0.403252,0.381854,0.287945
13.5333,0.402581,0.381786,0.287887
13.5500,0.401912,0.381720,0.287828
13.5667,0.401245,0.381654,0.287769
13.5833,0.400581,0.381591,0.287710
13.6000,0.399918,0.381528,0.287651
13.6167,0.399258,0.381466,0.287591
13.6333,0.398599,0.381406,0.287531
13.6500,0.397943,0.381346,0.287471
13.6667,0.397289,0.381287,0.287411
13.6833,0.396636,0.381228,0.287351
13.7000,0.395986,0.381170,0.287292
13.7167,0.395338,0.381112,0.287232
13.7333,0.394692,0.381055,0.287172
13.7500,0.394048,0.380998,0.287113
13.7667,0.393406,0.380940,0.287054
13.7833,0.392766,0.380883,0.286996
13.8000,0.392128,0.380825,0.286938
13.8167,0.391492,0.380767,0.286880
13.8333,0.390858,0.380709,0.286823
13.8500,0.390226,0.380650,0.286766
13.8667,0.389596,0.380590,0.286710
13.8833,0.388968,0.380529,0.286655
13.9000,0.388341,0.380468,0.286600
13.9167,0.387717,0.380405,0.286547
13.9333,0.387095,0.380341,0.286494
13.9500,0.386475,0.380276,0.286442
13.9667,0.385856,0.380210,0.286390
13.9833,0.385240,0.380142,0.286340
14.0000,0.384625,0.380072,0.286291
14.0167,0.384013,0.380001,0.286243
14.0333,0.383402,0.379927,0.286197
14.0500,0.382793,0.379851,0.286151
14.0667,0.382186,0.379773,0.286107
14.0833,0.381581,0.379694,0.286064
14.1000,0.380977,0.379613,0.286021
14.1167,0.380376,0.379531,0.285980
14.1333,0.379776,0.379447,0.285940
14.1500,0.379178,0.379362,0.285900
14.1667,0.378582,0.379277,0.285861
14.1833,0.377988,0.379190,0.285822
14.2000,0.377396,0.379103,0.285784
14.2167,0.376805,0.379016,0.285747
14.2333,0.376216,0.378928,0.285710
14.2500,0.375629,0.378840,0.285673
14.2667,0.375044,0.378752,0.285637
14.2833,0.374460,0.378665,0.285601
14.3000,0.373879,0.378577,0.285564
14.3167,0.373298,0.378490,0.285528
14.3333,0.372720,0.378404,0.285492
14.3500,0.372144,0.378318,0.285456
14.3667,0.371569,0.378234,0.285419
14.3833,0.370996,0.378150,0.285382
14.4000,0.370424,0.378068,0.285345
14.4167,0.369855,0.377987,0.285308
14.4333,0.369287,0.377908,0.285270
14.4500,0.368721,0.377831,0.285231
14.4667,0.368156,0.377755,0.285192
14.4833,0.367593,0.377682,0.285152
14.5000,0.367032,0.377610,0.285112
14.5167,0.366473,0.377541,0.285071
14.5333,0.365915,0.377472,0.285029
14.5500,0.365359,0.377405,0.284988
14.5667,0.364805,0.377338,0.284946
14.5833,0.364252,0.377273,0.284904
14.6000,0.363701,0.377208,0.284861
14.6167,0.363151,0.377144,0.284819
14.6333,0.362604,0.377081,0.284776
14.6500,0.362058,0.377019,0.284734
14.6667,0.361513,0.376957,0.284691
14.6833,0.360970,0.376896,0.284649
14.7000,0.360429,0.376835,0.284606
14.7167,0.359890,0.376775,0.284563
14.7333,0.359352,0.376716,0.284521
14.7500,0.358816,0.376656,0.284478
14.7667,0.358281,0.376597,0.284436
14.7833,0.357748,0.376538,0.284393
14.8000,0.357217,0.376480,0.284351
14.8167,0.356687,0.376421,0.284309
14.8333,0.356158,0.376363,0.284267
14.8500,0.355632,0.376304,0.284226
14.8667,0.355107,0.376246,0.284184
14.8833,0.354583,0.376187,0.284143
14.9000,0.354061,0.376128,0.284102
14.9167,0.353541,0.376069,0.284062
14.9333,0.353022,0.376010,0.284022
14.9500,0.352505,0.375951,0.283982
14.9667,0.351989,0.375891,0.283943
14.9833,0.351475,0.375830,0.283904
15.0000,0.350962,0.375769,0.283866
15.0167,0.350451,0.375707,0.283828
15.0333,0.349941,0.375645,0.283790
15.0500,0.349433,0.375582,0.283753
15.0667,0.348927,0.375518,0.283717
15.0833,0.348422,0.375454,0.283681
15.1000,0.347918,0.375390,0.283645
15.1167,0.347416,0.375325,0.283610
15.1333,0.346915,0.375260,0.283575
15.1500,0.346416,0.375194,0.283541
15.1667,0.345919,0.375129,0.283506
15.1833,0.345422,0.375064,0.283472
15.2000,0.344928,0.374998,0.283438
15.2167,0.344434,0.374933,0.283404
15.2333,0.343942,0.374869,0.283370
15.2500,0.343452,0.374804,0.283337
15.2667,0.342963,0.374740,0.283303
15.2833,0.342476,0.374677,0.283269
15.3000,0.341989,0.374614,0.283235
15.3167,0.341505,0.374551,0.283201
15.3333,0.341021,0.374490,0.283167
15.3500,0.340540,0.374429,0.283133
15.3667,0.340059,0.374369,0.283099
15.3833,0.339580,0.374310,0.283064
15.4000,0.339102,0.374252,0.283029
15.4167,0.338626,0.374196,0.282994
15.4333,0.338151,0.374140,0.282958
15.4500,0.337678,0.374086,0.282922
15.4667,0.337206,0.374033,0.282885
15.4833,0.336735,0.373982,0.282848
15.5000,0.336266,0.373932,0.282811
15.5167,0.335798,0.373884,0.282773
15.5333,0.335331,0.373837,0.282735
15.5500,0.334866,0.373790,0.282696
15.5667,0.334402,0.373745,0.282658
15.5833,0.333940,0.373700,0.282619
15.6000,0.333479,0.373656,0.282580
15.6167,0.333019,0.373613,0.282540
15.6333,0.332561,0.373571,0.282501
15.6500,0.332104,0.373530,0.282462
15.6667,0.331648,0.373488,0.282422
15.6833,0.331193,0.373448,0.282382
15.7000,0.330740,0.373408,0.282343
15.7167,0.330289,0.373368,0.282303
15.7333,0.329838,0.373329,0.282264
15.7500,0.329389,0.373290,0.282224
15.7667,0.328941,0.373252,0.282184
15.7833,0.328495,0.373214,0.282145
15.8000,0.328050,0.373175,0.282106
15.8167,0.327606,0.373137,0.282066
15.8333,0.327163,0.373099,0.282027
15.8500,0.326722,0.373061,0.281988
15.8667,0.326282,0.373023,0.281950
15.8833,0.325843,0.372985,0.281911
15.9000,0.325406,0.372947,0.281873
15.9167,0.324969,0.372908,0.281835
15.9333,0.324534,0.372869,0.281798
15.9500,0.324101,0.372830,0.281760
15.9667,0.323668,0.372791,0.281723
15.9833,0.323237,0.372751,0.281687
16.0000,0.322807,0.372710,0.281650
16.0167,0.322378,0.372669,0.281615
16.0333,0.321951,0.372627,0.281579
16.0500,0.321525,0.372584,0.281545
16.0667,0.321100,0.372541,0.281510
16.0833,0.320676,0.372497,0.281477
16.1000,0.320253,0.372453,0.281443
16.1167,0.319832,0.372408,0.281410
16.1333,0.319412,0.372364,0.281377
16.1500,0.318993,0.372318,0.281345
16.1667,0.318575,0.372273,0.281312
16.1833,0.318159,0.372228,0.281280
16.2000,0.317743,0.372183,0.281248
16.2167,0.317329,0.372138,0.281216
16.2333,0.316916,0.372093,0.281184
16.2500,0.316504,0.372049,0.281152
16.2667,0.316093,0.372005,0.281119
16.2833,0.315684,0.371962,0.281087
16.3000,0.315275,0.371919,0.281055
16.3167,0.314868,0.371878,0.281023
16.3333,0.314462,0.371836,0.280990
16.3500,0.314057,0.371796,0.280957
16.3667,0.313653,0.371757,0.280924
16.3833,0.313251,0.371719,0.280890
16.4000,0.312849,0.371682,0.280856
16.4167,0.312449,0.371646,0.280822
16.4333,0.312050,0.371612,0.280787
16.4500,0.311651,0.371579,0.280752
16.4667,0.311255,0.371548,0.280716
16.4833,0.310859,0.371518,0.280680
16.5000,0.310464,0.371490,0.280643
16.5167,0.310070,0.371464,0.280605
16.5333,0.309678,0.371439,0.280567
16.5500,0.309286,0.371415,0.280529
16.5667,0.308896,0.371392,0.280490
16.5833,0.308507,0.371370,0.280452
16.6000,0.308119,0.371349,0.280412
16.6167,0.307732,0.371329,0.280373
16.6333,0.307346,0.371309,0.280333
16.6500,0.306961,0.371290,0.280294
16.6667,0.306578,0.371272,0.280254
16.6833,0.306195,0.371254,0.280214
16.7000,0.305814,0.371237,0.280174
16.7167,0.305433,0.371220,0.280134
16.7333,0.305054,0.371203,0.280095
16.7500,0.304676,0.371186,0.280055
16.7667,0.304298,0.371169,0.280016
16.7833,0.303922,0.371152,0.279976
16.8000,0.303547,0.371134,0.279937
16.8167,0.303173,0.371117,0.279898
16.8333,0.302800,0.371099,0.279860
16.8500,0.302428,0.371081,0.279822
16.8667,0.302057,0.371062,0.279784
16.8833,0.301687,0.371042,0.279746
16.9000,0.301319,0.371022,0.279710
16.9167,0.300951,0.371001,0.279673
16.9333,0.300584,0.370979,0.279637
16.9500,0.300218,0.370957,0.279602
16.9667,0.299854,0.370933,0.279567
16.9833,0.299490,0.370907,0.279533
17.0000,0.299127,0.370881,0.279500
17.0167,0.298765,0.370853,0.279468
17.0333,0.298405,0.370823,0.279436
17.0500,0.298045,0.370792,0.279405
17.0667,0.297686,0.370759,0.279375
17.0833,0.297329,0.370725,0.279346
17.1000,0.296972,0.370689,0.279318
17.1167,0.296616,0.370653,0.279290
17.1333,0.296261,0.370614,0.279263
17.1500,0.295907,0.370575,0.279236
17.1667,0.295554,0.370535,0.279210
17.1833,0.295202,0.370494,0.279185
17.2000,0.294851,0.370452,0.279160
17.2167,0.294501,0.370410,0.279136
17.2333,0.294152,0.370367,0.279112
17.2500,0.293804,0.370323,0.279088
17.2667,0.293457,0.370279,0.279065
17.2833,0.293111,0.370234,0.279041
17.3000,0.292765,0.370189,0.279019
17.3167,0.292421,0.370145,0.278996
17.3333,0.292077,0.370099,0.278973
17.3500,0.291735,0.370054,0.278951
17.3667,0.291393,0.370009,0.278929
17.3833,0.291052,0.369965,0.278907
17.4000,0.290712,0.369920,0.278884
17.4167,0.290373,0.369876,0.278862
17.4333,0.290035,0.369832,0.278840
17.4500,0.289698,0.369789,0.278817
17.4667,0.289362,0.369747,0.278794
17.4833,0.289026,0.369705,0.278772
17.5000,0.288692,0.369664,0.278748
17.5167,0.288358,0.369623,0.278725
17.5333,0.288026,0.369581,0.278703
17.5500,0.287694,0.369539,0.278681
17.5667,0.287363,0.369496,0.278659
17.5833,0.287033,0.369452,0.278638
17.6000,0.286703,0.369408,0.278617
17.6167,0.286375,0.369363,0.278596
17.6333,0.286048,0.369319,0.278575
17.6500,0.285721,0.369274,0.278555
17.6667,0.285395,0.369229,0.278535
17.6833,0.285070,0.369184,0.278515
17.7000,0.284746,0.369139,0.278495
17.7167,0.284423,0.369094,0.278475
17.7333,0.284100,0.369050,0.278455
17.7500,0.283779,0.369006,0.278435
17.7667,0.283458,0.368962,0.278414
17.7833,0.283138,0.368919,0.278394
17.8000,0.282819,0.368876,0.278374
17.8167,0.282501,0.368835,0.278353
17.8333,0.282184,0.368794,0.278332
17.8500,0.281867,0.368754,0.278311
17.8667,0.281551,0.368715,0.278289
17.8833,0.281236,0.368677,0.278268
17.9000,0.280922,0.368640,0.278245
17.9167,0.280609,0.368605,0.278222
17.9333,0.280296,0.368570,0.278199
17.9500,0.279985,0.368538,0.278175
17.9667,0.279674,0.368506,0.278151
17.9833,0.279364,0.368477,0.278126
18.0000,0.279055,0.368449,0.278100
18.0167,0.278746,0.368422,0.278074
18.0333,0.278439,0.368397,0.278048
18.0500,0.278132,0.368372,0.278021
18.0667,0.277826,0.368348,0.277995
18.0833,0.277521,0.368324,0.277968
18.1000,0.277216,0.368302,0.277940
18.1167,0.276913,0.368280,0.277913
18.1333,0.276610,0.368258,0.277885
18.1500,0.276308,0.368237,0.277858
18.1667,0.276006,0.368217,0.277830
18.1833,0.275706,0.368197,0.277802
18.2000,0.275406,0.368177,0.277774
18.2167,0.275107,0.368158,0.277746
18.2333,0.274809,0.368139,0.277718
18.2500,0.274512,0.368120,0.277690
18.2667,0.274215,0.368102,0.277662
18.2833,0.273919,0.368084,0.277634
18.3000,0.273624,0.368065,0.277606
18.3167,0.273330,0.368047,0.277578
18.3333,0.273036,0.368029,0.277550
18.3500,0.272744,0.368011,0.277522
18.3667,0.272452,0.367993,0.277494
18.3833,0.272160,0.367975,0.277467
18.4000,0.271870,0.367957,0.277439
18.4167,0.271580,0.367939,0.277412
18.4333,0.271291,0.367920,0.277385
18.4500,0.271003,0.367901,0.277358
18.4667,0.270715,0.367882,0.277332
18.4833,0.270428,0.367862,0.277306
18.5000,0.270142,0.367842,0.277279
18.5167,0.269857,0.367822,0.277254
18.5333,0.269572,0.367802,0.277228
18.5500,0.269289,0.367782,0.277202
18.5667,0.269005,0.367761,0.277177
18.5833,0.268723,0.367741,0.277151
18.6000,0.268441,0.367721,0.277126
18.6167,0.268160,0.367701,0.277101
18.6333,0.267880,0.367681,0.277075
18.6500,0.267600,0.367660,0.277050
18.6667,0.267322,0.367640,0.277025
18.6833,0.267043,0.367620,0.277000
18.7000,0.266766,0.367600,0.276976
18.7167,0.266489,0.367579,0.276951
18.7333,0.266213,0.367559,0.276926
18.7500,0.265938,0.367539,0.276902
18.7667,0.265663,0.367519,0.276877
18.7833,0.265389,0.367499,0.276853
18.8000,0.265116,0.367478,0.276829
18.8167,0.264843,0.367458,0.276805
18.8333,0.264571,0.367438,0.276780
18.8500,0.264300,0.367418,0.276756
18.8667,0.264030,0.367398,0.276733
18.8833,0.263760,0.367377,0.276709
18.9000,0.263490,0.367357,0.276685
18.9167,0.263222,0.367337,0.276661
18.9333,0.262954,0.367317,0.276638
18.9500,0.262687,0.367297,0.276614
18.9667,0.262420,0.367276,0.276591
18.9833,0.262155,0.367256,0.276568
19.0000,0.261889,0.367236,0.276544
19.0167,0.261625,0.367216,0.276521
19.0333,0.261361,0.367196,0.276498
19.0500,0.261098,0.367175,0.276475
19.0667,0.260835,0.367155,0.276452
19.0833,0.260573,0.367135,0.276429
19.1000,0.260312,0.367115,0.276407
19.1167,0.260051,0.367095,0.276384
19.1333,0.259791,0.367074,0.276362
19.1500,0.259532,0.367054,0.276339
19.1667,0.259273,0.367034,0.276317
19.1833,0.259015,0.367014,0.276294
19.2000,0.258758,0.366994,0.276272
19.2167,0.258501,0.366973,0.276250
19.2333,0.258245,0.366953,0.276228
19.2500,0.257989,0.366933,0.276206
19.2667,0.257734,0.366913,0.276184
19.2833,0.257480,0.366893,0.276162
19.3000,0.257226,0.366872,0.276140
19.3167,0.256973,0.366852,0.276119
19.3333,0.256721,0.366832,0.276097
19.3500,0.256469,0.366812,0.276076
19.3667,0.256218,0.366792,0.276054
19.3833,0.255967,0.366772,0.276033
19.4000,0.255717,0.366751,0.276012
19.4167,0.255468,0.366731,0.275990
19.4333,0.255219,0.366711,0.275969
19.4500,0.254971,0.366691,0.275948
19.4667,0.254723,0.366671,0.275927
19.4833,0.254476,0.366650,0.275906
19.5000,0.254230,0.366630,0.275886
19.5167,0.253984,0.366610,0.275865
19.5333,0.253739,0.366590,0.275844
19.5500,0.253494,0.366570,0.275824
19.5667,0.253250,0.366550,0.275803
19.5833,0.253007,0.366529,0.275783
19.6000,0.252764,0.366509,0.275762
19.6167,0.252522,0.366489,0.275742
19.6333,0.252280,0.366469,0.275722
19.6500,0.252039,0.366449,0.275702
19.6667,0.251798,0.366428,0.275681
19.6833,0.251559,0.366408,0.275661
19.7000,0.251319,0.366388,0.275642
19.7167,0.251080,0.366368,0.275622
19.7333,0.250842,0.366348,0.275602
19.7500,0.250604,0.366328,0.275582
19.7667,0.250367,0.366307,0.275563
19.7833,0.250131,0.366287,0.275543
19.8000,0.249895,0.366267,0.275523
19.8167,0.249659,0.366247,0.275504
19.8333,0.249425,0.366227,0.275485
19.8500,0.249190,0.366207,0.275465
19.8667,0.248957,0.366186,0.275446
19.8833,0.248723,0.366166,0.275427
19.9000,0.248491,0.366146,0.275408
19.9167,0.248259,0.366126,0.275389
19.9333,0.248027,0.366106,0.275370
19.9500,0.247796,0.366086,0.275351
19.9667,0.247566,0.366065,0.275332
19.9833,0.247336,0.366045,0.275314
20.0000,0.247106,0.366025,0.275295
20.0167,0.246878,0.366005,0.275276
20.0333,0.246649,0.365985,0.275258
20.0500,0.246421,0.365965,0.275239
20.0667,0.246194,0.365944,0.275221
20.0833,0.245968,0.365924,0.275203
20.1000,0.245741,0.365904,0.275184
20.1167,0.245516,0.365884,0.275166
20.1333,0.245291,0.365864,0.275148
20.1500,0.245066,0.365844,0.275130
20.1667,0.244842,0.365823,0.275112
20.1833,0.244618,0.365803,0.275094
20.2000,0.244395,0.365783,0.275076
20.2167,0.244173,0.365763,0.275058
20.2333,0.243951,0.365743,0.275041
20.2500,0.243729,0.365723,0.275023
20.2667,0.243508,0.365702,0.275005
20.2833,0.243288,0.365682,0.274988
20.3000,0.243068,0.365662,0.274970
20.3167,0.242849,0.365642,0.274953
20.3333,0.242630,0.365622,0.274936
20.3500,0.242411,0.365602,0.274918
20.3667,0.242193,0.365581,0.274901
20.3833,0.241976,0.365561,0.274884
20.4000,0.241759,0.365541,0.274867
20.4167,0.241543,0.365521,0.274850
20.4333,0.241327,0.365501,0.274833
20.4500,0.241111,0.365481,0.274816
20.4667,0.240896,0.365461,0.274799
20.4833,0.240682,0.365440,0.274782
20.5000,0.240468,0.365420,0.274765
20.5167,0.240254,0.365400,0.274749
20.5333,0.240041,0.365380,0.274732
20.5500,0.239829,0.365360,0.274716
20.5667,0.239617,0.365340,0.274699
20.5833,0.239405,0.365320,0.274683
20.6000,0.239194,0.365299,0.274666
20.6167,0.238984,0.365279,0.274650
20.6333,0.238774,0.365259,0.274634
20.6500,0.238564,0.365239,0.274618
20.6667,0.238355,0.365219,0.274601
20.6833,0.238146,0.365199,0.274585
20.7000,0.237938,0.365178,0.274569
20.7167,0.237730,0.365158,0.274553
20.7333,0.237523,0.365138,0.274538
20.7500,0.237316,0.365118,0.274522
20.7667,0.237110,0.365098,0.274506
20.7833,0.236904,0.365078,0.274490
20.8000,0.236698,0.365058,0.274475
20.8167,0.236494,0.365038,0.274459
20.8333,0.236289,0.365017,0.274443
20.8500,0.236085,0.364997,0.274428
20.8667,0.235881,0.364977,0.274412
20.8833,0.235678,0.364957,0.274397
20.9000,0.235476,0.364937,0.274382
20.9167,0.235273,0.364917,0.274366
20.9333,0.235072,0.364897,0.274351
20.9500,0.234870,0.364876,0.274336
20.9667,0.234670,0.364856,0.274321
20.9833,0.234469,0.364836,0.274306
21.0000,0.234269,0.364816,0.274291
21.0167,0.234070,0.364796,0.274276
21.0333,0.233871,0.364776,0.274261
21.0500,0.233672,0.364756,0.274246
21.0667,0.233474,0.364735,0.274232
21.0833,0.233276,0.364715,0.274217
21.1000,0.233079,0.364695,0.274202
21.1167,0.232882,0.364675,0.274188
21.1333,0.232685,0.364655,0.274173
21.1500,0.232489,0.364635,0.274158
21.1667,0.232294,0.364615,0.274144
21.1833,0.232098,0.364595,0.274130
21.2000,0.231904,0.364574,0.274115
21.2167,0.231709,0.364554,0.274101
21.2333,0.231515,0.364534,0.274087
21.2500,0.231322,0.364514,0.274073
21.2667,0.231129,0.364494,0.274058
21.2833,0.230936,0.364474,0.274044
21.3000,0.230744,0.364454,0.274030
21.3167,0.230552,0.364434,0.274016
21.3333,0.230361,0.364413,0.274002
21.3500,0.230170,0.364393,0.273988
21.3667,0.229980,0.364373,0.273975
21.3833,0.229789,0.364353,0.273961
21.4000,0.229600,0.364333,0.273947
21.4167,0.229410,0.364313,0.273933
21.4333,0.229222,0.364293,0.273920
21.4500,0.229033,0.364273,0.273906
21.4667,0.228845,0.364252,0.273893
21.4833,0.228657,0.364232,0.273879
21.5000,0.228470,0.364212,0.273866
21.5167,0.228283,0.364191,0.273853
21.5333,0.228097,0.364170,0.273840
21.5500,0.227911,0.364146,0.273828
21.5667,0.227725,0.364122,0.273817
21.5833,0.227540,0.364098,0.273805
21.6000,0.227355,0.364072,0.273795
21.6167,0.227171,0.364046,0.273784
21.6333,0.226987,0.364020,0.273774
21.6500,0.226803,0.363993,0.273764
21.6667,0.226620,0.363966,0.273754
21.6833,0.226437,0.363940,0.273744
21.7000,0.226254,0.363913,0.273733
21.7167,0.226072,0.363887,0.273723
21.7333,0.225891,0.363861,0.273713
21.7500,0.225709,0.363835,0.273703
21.7667,0.225528,0.363810,0.273692
21.7833,0.225348,0.363786,0.273681
21.8000,0.225167,0.363763,0.273670
21.8167,0.224988,0.363741,0.273658
21.8333,0.224808,0.363721,0.273646
21.8500,0.224629,0.363701,0.273633
21.8667,0.224451,0.363683,0.273620
21.8833,0.224272,0.363667,0.273606
21.9000,0.224094,0.363652,0.273591
21.9167,0.223917,0.363640,0.273576
21.9333,0.223740,0.363629,0.273560
21.9500,0.223563,0.363620,0.273543
21.9667,0.223386,0.363614,0.273525
21.9833,0.223210,0.363610,0.273505
22.0000,0.223035,0.363609,0.273485
22.0167,0.222860,0.363609,0.273465
22.0333,0.222685,0.363609,0.273444
22.0500,0.222510,0.363609,0.273424
22.0667,0.222336,0.363609,0.273403
22.0833,0.222162,0.363609,0.273383
22.1000,0.221989,0.363609,0.273363
22.1167,0.221816,0.363609,0.273342
22.1333,0.221643,0.363609,0.273322
22.1500,0.221471,0.363609,0.273302
22.1667,0.221299,0.363609,0.273282
22.1833,0.221127,0.363609,0.273261
22.2000,0.220956,0.363609,0.273241
22.2167,0.220785,0.363609,0.273221
22.2333,0.220615,0.363609,0.273201
22.2500,0.220445,0.363609,0.273181
22.2667,0.220275,0.363609,0.273161
22.2833,0.220106,0.363609,0.273142
22.3000,0.219937,0.363609,0.273122
22.3167,0.219768,0.363609,0.273102
22.3333,0.219600,0.363609,0.273082
22.3500,0.219432,0.363609,0.273063
22.3667,0.219264,0.363609,0.273043
22.3833,0.219097,0.363609,0.273023
22.4000,0.218930,0.363609,0.273004
22.4167,0.218764,0.363609,0.272984
22.4333,0.218597,0.363609,0.272965
22.4500,0.218432,0.363609,0.272945
22.4667,0.218266,0.363609,0.272926
22.4833,0.218101,0.363609,0.272907
22.5000,0.217936,0.363609,0.272887
22.5167,0.217772,0.363607,0.272869
22.5333,0.217608,0.363601,0.272852
22.5500,0.217444,0.363592,0.272837
22.5667,0.217280,0.363580,0.272823
22.5833,0.217117,0.363564,0.272811
22.6000,0.216955,0.363546,0.272800
22.6167,0.216792,0.363526,0.272789
22.6333,0.216630,0.363503,0.272780
22.6500,0.216468,0.363479,0.272772
22.6667,0.216307,0.363453,0.272764
22.6833,0.216146,0.363425,0.272757
22.7000,0.215985,0.363397,0.272750
22.7167,0.215825,0.363367,0.272744
22.7333,0.215664,0.363338,0.272738
22.7500,0.215505,0.363308,0.272732
22.7667,0.215345,0.363277,0.272727
22.7833,0.215186,0.363248,0.272721
22.8000,0.215027,0.363218,0.272715
22.8167,0.214869,0.363190,0.272708
22.8333,0.214710,0.363162,0.272702
22.8500,0.214552,0.363136,0.272694
22.8667,0.214395,0.363112,0.272687
22.8833,0.214238,0.363089,0.272678
22.9000,0.214081,0.363069,0.272668
22.9167,0.213924,0.363051,0.272658
22.9333,0.213768,0.363036,0.272646
22.9500,0.213611,0.363023,0.272633
22.9667,0.213456,0.363014,0.272619
22.9833,0.213300,0.363008,0.272603
23.0000,0.213145,0.363006,0.272586
23.0167,0.212990,0.363006,0.272568
23.0333,0.212836,0.363006,0.272550
23.0500,0.212682,0.363006,0.272532
23.0667,0.212528,0.363006,0.272514
23.0833,0.212375,0.363006,0.272496
23.1000,0.212221,0.363006,0.272478
23.1167,0.212068,0.363006,0.272460
23.1333,0.211916,0.363006,0.272443
23.1500,0.211764,0.363006,0.272425
23.1667,0.211612,0.363006,0.272407
23.1833,0.211460,0.363006,0.272389
23.2000,0.211309,0.363006,0.272372
23.2167,0.211158,0.363006,0.272354
23.2333,0.211007,0.363006,0.272337
23.2500,0.210856,0.363006,0.272319
23.2667,0.210706,0.363006,0.272302
